Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00   514.50      0.00        8     0.00     0.00  Gem::StubSpecification#find_full_gem_path
  0.00   514.50      0.00       91     0.00     0.11  Gem::BasicSpecification#full_gem_path
  0.00   514.50      0.00      186     0.00     0.32  Gem::BasicSpecification#full_require_paths
  0.00   514.50      0.00        8     0.00     1.25  Gem::StubSpecification#full_require_paths
  0.00   514.50      0.00       43     0.00     0.23  Gem::BasicSpecification#contains_requirable_file?
  0.00   514.50      0.00        9     0.00    13.33  Gem::Specification.find_inactive_by_path
  0.00   514.50      0.00        3     0.00     0.00  Gem.default_ext_dir_for
  0.00   514.50      0.00       23     0.00     0.00  Gem::Platform.local
  0.00   514.50      0.00        3     0.00     0.00  Gem::Platform#to_a
  0.00   514.50      0.00        3     0.00     0.00  Gem::Platform#to_s
  0.00   514.50      0.00        3     0.00     0.00  Gem.ruby_api_version
  0.00   514.50      0.00        3     0.00     0.00  Gem.extension_api_version
  0.00   514.50      0.00        3     0.00     0.00  Gem::BasicSpecification#extensions_dir
  0.00   514.50      0.00        4     0.00     2.50  Gem::BasicSpecification#extension_dir
  0.00   514.50      0.00      695     0.00     0.22  Enumerable#find
  0.00   514.50      0.00       88     0.00     0.00  IO.read
  0.00   514.50      0.00       84     0.00     0.00  Kernel#binding
  0.00   514.50      0.00      172     0.00     0.00  Gem::Specification#loaded_from=
  0.00   514.50      0.00     1630     0.00     0.00  Kernel#block_given?
  0.00   514.50      0.00      830     0.00     0.00  Array#compact!
  0.00   514.50      0.00      873     0.00     0.00  Array#uniq!
  0.00   514.50      0.00      837     0.00     0.48  Array#map!
  0.00   514.50      0.00       83     0.00     0.00  Gem::Specification#require_paths=
  0.00   514.50      0.00       83     0.00     0.00  Enumerable#grep
  0.00   514.50      0.00       83     0.00     0.00  Gem::Specification#authors=
  0.00   514.50      0.00      168     0.00     0.00  Fixnum#divmod
  0.00   514.50      0.00       83     0.00     0.36  Gem::Specification#date=
  0.00   514.50      0.00       82     0.00     0.00  Gem::Specification#description=
  0.00   514.50      0.00       30     0.00     0.00  Gem::Specification#executables=
  0.00   514.50      0.00       50     0.00     0.00  Gem::Specification#files=
  0.00   514.50      0.00       76     0.00     0.00  Gem::Specification#licenses=
  0.00   514.50      0.00       39     0.00     0.00  Gem::Specification#required_ruby_version=
  0.00   514.50      0.00       83     0.00     0.00  Gem::Specification#installed_by_version=
  0.00   514.50      0.00      114     0.00     0.00  Comparable#>=
  0.00   514.50      0.00      122     0.00     0.00  Module#attr_accessor
  0.00   514.50      0.00       25     0.00     0.00  Module#attr_writer
  0.00   514.50      0.00      550     0.00     0.00  Gem::Specification#dependencies
  0.00   514.50      0.00      346     0.00     0.43  Gem::Specification#add_dependency_with_type
  0.00   514.50      0.00      237     0.00     0.38  Gem::Specification#add_development_dependency
  0.00   514.50      0.00     3316     0.00     0.00  Gem::Dependency#type
  0.00   514.50      0.00       16     0.00     0.00  Gem::Specification#runtime_dependencies
  0.00   514.50      0.00      143     0.00     0.49  Array#select
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification#conflicts
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification#raise_if_conflicts
  0.00   514.50      0.00      119     0.00     0.00  Hash#delete
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification#activate_dependencies
  0.00   514.50      0.00       90     0.00     0.11  Gem::Specification#full_name
  0.00   514.50      0.00       82     0.00     0.12  Gem::BasicSpecification#find_full_gem_path
  0.00   514.50      0.00       82     0.00     0.12  Gem::Specification#find_full_gem_path
  0.00   514.50      0.00        2     0.00     0.00  Gem.load_path_insert_index
  0.00   514.50      0.00        2     0.00     0.00  Array#insert
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification#add_self_to_load_path
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification#activate
  0.00   514.50      0.00        1     0.00   110.00  Gem.try_activate
  0.00   514.50      0.00       13     0.00     0.00  Gem::Specification#add_bindir
  0.00   514.50      0.00     2046     0.00     0.00  Array#sort
  0.00   514.50      0.00        4     0.00     0.00  Gem.remove_unresolved_default_spec
  0.00   514.50      0.00       96     0.00     0.00  Gem::Dependency#matching_specs
  0.00   514.50      0.00     2198     0.00     0.00  Gem::Dependency#requirement
  0.00   514.50      0.00      146     0.00  1393.56  Proc#call
  0.00   514.50      0.00      252     0.00     0.00  Gem::Requirement#satisfied_by?
  0.00   514.50      0.00      403     0.00     0.12  Enumerable#all?
  0.00   514.50      0.00        3     0.00     3.33  Enumerable#find_all
  0.00   514.50      0.00      198     0.00     0.00  Gem.platforms
  0.00   514.50      0.00      394     0.00     0.00  Gem::Platform.match
  0.00   514.50      0.00       85     0.00     0.00  Array#reject!
  0.00   514.50      0.00        1     0.00     0.00  Gem::Specification#sort_obj
  0.00   514.50      0.00        1     0.00     0.00  Gem::Dependency#to_specs
  0.00   514.50      0.00        3     0.00     0.00  Gem::Dependency#to_spec
  0.00   514.50      0.00      174     0.00     0.06  Gem::Requirement#prerelease?
  0.00   514.50      0.00        1     0.00     0.00  Gem::Dependency#prerelease?
  0.00   514.50      0.00        2     0.00     0.00  Kernel#gem
  0.00   514.50      0.00      243     0.00   272.39  Mutex#synchronize
  0.00   514.50      0.00      167     0.00     0.00  Module#append_features
  0.00   514.50      0.00      149     0.00     0.00  Module#included
  0.00   514.50      0.00      166     0.00     0.06  Module#include
  0.00   514.50      0.00        1     0.00     0.00  Etc.sysconfdir
  0.00   514.50      0.00       42     0.00     0.00  Module#protected
  0.00   514.50      0.00     3159     0.00     0.00  BasicObject#initialize
  0.00   514.50      0.00       16     0.00     0.00  Mutex#initialize
  0.00   514.50      0.00        5     0.00     0.00  MonitorMixin#mon_initialize
  0.00   514.50      0.00        5     0.00     0.00  MonitorMixin#initialize
  0.00   514.50      0.00      445     0.00     0.00  Array#+
  0.00   514.50      0.00     1375     0.00     0.00  String#tr
  0.00   514.50      0.00      140     0.00     0.00  String#intern
  0.00   514.50      0.00     1062     0.00     0.00  String#empty?
  0.00   514.50      0.00       16     0.00     0.00  Bundler::SharedHelpers#find_gemfile
  0.00   514.50      0.00        9     0.00     0.00  Bundler::SharedHelpers#in_bundle?
  0.00   514.50      0.00      105     0.00     0.00  Module#module_function
  0.00   514.50      0.00       22     0.00     0.00  Module#private_class_method
  0.00   514.50      0.00       19     0.00     0.00  FileUtils.private_module_function
  0.00   514.50      0.00      688     0.00     0.00  String#freeze
  0.00   514.50      0.00        2     0.00     0.00  Kernel#singleton_methods
  0.00   514.50      0.00      124     0.00     0.00  FileUtils.collect_method
  0.00   514.50      0.00      162     0.00     0.06  Module#public
  0.00   514.50      0.00       50     0.00     0.00  Bundler::BundlerError.all_errors
  0.00   514.50      0.00      325     0.00     0.00  Bundler::BundlerError.status_code
  0.00   514.50      0.00       13     0.00     0.00  Kernel#caller
  0.00   514.50      0.00       12     0.00     0.00  Module#instance_method
  0.00   514.50      0.00        1     0.00     0.00  URI::RFC3986_Parser#default_regexp
  0.00   514.50      0.00        3     0.00     0.00  Hash#each_value
  0.00   514.50      0.00        1     0.00     0.00  URI::RFC3986_Parser#initialize
  0.00   514.50      0.00        1     0.00     0.00  URI::RFC2396_Parser#initialize_pattern
  0.00   514.50      0.00       19     0.00     0.00  Regexp#initialize
  0.00   514.50      0.00       77     0.00     0.00  NilClass#to_s
  0.00   514.50      0.00        1     0.00     0.00  URI::RFC2396_Parser#initialize_regexp
  0.00   514.50      0.00        1     0.00     0.00  URI::RFC2396_Parser#initialize
  0.00   514.50      0.00      321     0.00     0.00  Module#const_defined?
  0.00   514.50      0.00       67     0.00     0.00  Module#autoload
  0.00   514.50      0.00        2     0.00     0.00  Fixnum#div
  0.00   514.50      0.00     1454     0.00     0.00  String#downcase
  0.00   514.50      0.00       23     0.00     0.00  Regexp#to_s
  0.00   514.50      0.00        1     0.00     0.00  Fixnum#~
  0.00   514.50      0.00        1     0.00     0.00  OpenSSL::X509::Store#initialize
  0.00   514.50      0.00        1     0.00     0.00  OpenSSL::X509::Store#set_default_paths
  0.00   514.50      0.00        1     0.00     0.00  OpenSSL::X509::Store#flags=
  0.00   514.50      0.00        1     0.00     0.00  Resolv::Hosts#initialize
  0.00   514.50      0.00        1     0.00     0.00  Resolv::DNS::Config#initialize
  0.00   514.50      0.00        1     0.00     0.00  Resolv::DNS#initialize
  0.00   514.50      0.00        1     0.00     0.00  Resolv#initialize
  0.00   514.50      0.00        1     0.00     0.00  Kernel#instance_variables
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Plugin#reset!
  0.00   514.50      0.00       78     0.00     0.00  Module#alias_method
  0.00   514.50      0.00       85     0.00     0.00  Kernel#===
  0.00   514.50      0.00     3626     0.00     0.00  Array#shift
  0.00   514.50      0.00       19     0.00     0.00  Gem::Platform#initialize
  0.00   514.50      0.00        6     0.00     0.00  Module#instance_methods
  0.00   514.50      0.00        4     0.00     0.00  Module#method_removed
  0.00   514.50      0.00       10     0.00     0.00  Module#remove_method
  0.00   514.50      0.00      484     0.00     0.00  Class#allocate
  0.00   514.50      0.00       76     0.00     0.00  Module#method_undefined
  0.00   514.50      0.00       82     0.00     0.00  Module#undef_method
  0.00   514.50      0.00        1     0.00     0.00  #<Object:0x0000000186fed8>.to_hash
  0.00   514.50      0.00        1     0.00     0.00  Bundler::EnvironmentPreserver#initialize
  0.00   514.50      0.00        3     0.00     0.00  Bundler::EnvironmentPreserver#restore
  0.00   514.50      0.00        3     0.00     0.00  Bundler::EnvironmentPreserver#backup
  0.00   514.50      0.00        1     0.00     0.00  IO#tty?
  0.00   514.50      0.00        8     0.00     0.00  Pathname#untaint
  0.00   514.50      0.00        4     0.00     0.00  Bundler::SharedHelpers#default_gemfile
  0.00   514.50      0.00        2     0.00     0.00  Bundler.default_gemfile
  0.00   514.50      0.00        6     0.00     0.00  Pathname#dirname
  0.00   514.50      0.00       13     0.00     0.00  Pathname#expand_path
  0.00   514.50      0.00       13     0.00     0.00  Bundler.root
  0.00   514.50      0.00      227     0.00     0.00  File.basename
  0.00   514.50      0.00      204     0.00     0.00  String#rindex
  0.00   514.50      0.00       26     0.00     0.00  Pathname#relative?
  0.00   514.50      0.00       26     0.00     0.00  Pathname#absolute?
  0.00   514.50      0.00       48     0.00     0.00  Pathname#to_s
  0.00   514.50      0.00       87     0.00     0.00  Array#unshift
  0.00   514.50      0.00       26     0.00     0.38  Pathname#plus
  0.00   514.50      0.00       26     0.00     0.38  Pathname#+
  0.00   514.50      0.00       26     0.00     0.38  Pathname#join
  0.00   514.50      0.00        1     0.00     0.00  Bundler.app_config_path
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Settings#local_config_file
  0.00   514.50      0.00       16     0.00     0.00  FileTest.exist?
  0.00   514.50      0.00       14     0.00     0.00  Pathname#exist?
  0.00   514.50      0.00        1     0.00     0.00  FileTest.size
  0.00   514.50      0.00        1     0.00     0.00  Pathname#size
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Settings#ignore_config?
  0.00   514.50      0.00        3     0.00     0.00  Pathname#read
  0.00   514.50      0.00        3     0.00     0.00  Bundler::YAMLSerializer#load
  0.00   514.50      0.00        9     0.00     0.00  String#include?
  0.00   514.50      0.00        1     0.00     0.00  Bundler::YAMLSerializer#convert_to_backward_compatible_key
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Settings#load_config
  0.00   514.50      0.00        2     0.00     0.00  Bundler::SharedHelpers#filesystem_access
  0.00   514.50      0.00        2     0.00     0.00  Bundler::RubygemsIntegration.version
  0.00   514.50      0.00        2     0.00     0.00  Bundler::RubygemsIntegration.provides?
  0.00   514.50      0.00        1     0.00     0.00  Bundler::RubygemsIntegration#initialize
  0.00   514.50      0.00        1     0.00     0.00  Module#initialize_copy
  0.00   514.50      0.00        1     0.00     0.00  Module#private_instance_methods
  0.00   514.50      0.00        1     0.00     0.00  Module#public_instance_methods
  0.00   514.50      0.00        1     0.00     0.00  Etc.systmpdir
  0.00   514.50      0.00        1     0.00     0.00  Delegator.public_api
  0.00   514.50      0.00      178     0.00     0.00  Kernel#lambda
  0.00   514.50      0.00      149     0.00     0.00  Delegator.delegating_block
  0.00   514.50      0.00      151     0.00     0.07  Object#DelegateClass
  0.00   514.50      0.00        5     0.00     0.00  OptionParser::List#initialize
  0.00   514.50      0.00       12     0.00     0.00  Proc.new
  0.00   514.50      0.00       23     0.00     0.00  OptionParser::Switch#initialize
  0.00   514.50      0.00       13     0.00     0.00  OptionParser.top
  0.00   514.50      0.00       13     0.00     0.00  OptionParser::List#accept
  0.00   514.50      0.00       13     0.00     0.00  OptionParser.accept
  0.00   514.50      0.00      135     0.00     0.00  Regexp#hash
  0.00   514.50      0.00        2     0.00     0.00  OptionParser::Arguable.extend_object
  0.00   514.50      0.00       15     0.00    22.00  BasicObject#instance_eval
  0.00   514.50      0.00        6     0.00     0.00  Gem::Command.common_options
  0.00   514.50      0.00        6     0.00     0.00  Gem::Command.add_common_option
  0.00   514.50      0.00        9     0.00     0.00  Module#remove_const
  0.00   514.50      0.00        2     0.00    20.00  Bundler::RubygemsIntegration::MoreFuture#backport_ext_builder_monitor
  0.00   514.50      0.00        1     0.00    40.00  Bundler::RubygemsIntegration::MoreFuture#initialize
  0.00   514.50      0.00      191     0.00     0.21  Bundler.rubygems
  0.00   514.50      0.00        1     0.00     0.00  Bundler::RubygemsIntegration#user_home
  0.00   514.50      0.00        1     0.00    40.00  Bundler.user_bundle_path
  0.00   514.50      0.00        1     0.00    40.00  Bundler::Settings#global_config_file
  0.00   514.50      0.00        1     0.00    40.00  Bundler::Settings#initialize
  0.00   514.50      0.00       61     0.00     0.66  Bundler.settings
  0.00   514.50      0.00      117     0.00     0.00  String#upcase
  0.00   514.50      0.00        3     0.00     0.00  Gem.dir
  0.00   514.50      0.00        2     0.00     0.00  Bundler::RubygemsIntegration#gem_dir
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Settings#path
  0.00   514.50      0.00       10     0.00     0.00  Bundler.bundle_path
  0.00   514.50      0.00        1     0.00     0.00  Bundler.configure_gem_path
  0.00   514.50      0.00        8     0.00     0.00  FileUtils#fu_check_options
  0.00   514.50      0.00        3     0.00     0.00  Hash#empty?
  0.00   514.50      0.00        3     0.00     0.00  File.path
  0.00   514.50      0.00        4     0.00     0.00  FileUtils#fu_list
  0.00   514.50      0.00        2     0.00     0.00  FileUtils#remove_tailing_slash
  0.00   514.50      0.00        3     0.00     0.00  FileUtils#mkdir_p
  0.00   514.50      0.00       34     0.00     0.00  SystemCallError#initialize
  0.00   514.50      0.00        1     0.00     0.00  Dir.mkdir
  0.00   514.50      0.00        1     0.00     0.00  FileUtils#fu_mkdir
  0.00   514.50      0.00       64     0.00     0.00  SystemCallError.===
  0.00   514.50      0.00        2     0.00     0.00  Hash#clear
  0.00   514.50      0.00        2     0.00     0.00  Gem::Specification._clear_load_cache
  0.00   514.50      0.00        3     0.00     0.00  Gem::Specification.reset
  0.00   514.50      0.00        2     0.00     0.00  Gem.clear_paths
  0.00   514.50      0.00        1     0.00     0.00  Bundler::RubygemsIntegration#clear_paths
  0.00   514.50      0.00        1     0.00     0.00  Bundler.configure_gem_home
  0.00   514.50      0.00        1     0.00    40.00  Bundler.configure_gem_home_and_path
  0.00   514.50      0.00        1     0.00    40.00  Bundler.configure
  0.00   514.50      0.00     1554     0.00     0.02  Gem::Version#hash
  0.00   514.50      0.00        2     0.00     0.00  Pathname#basename
  0.00   514.50      0.00        2     0.00     0.00  Bundler::SharedHelpers#default_lockfile
  0.00   514.50      0.00        2     0.00     0.00  Bundler.default_lockfile
  0.00   514.50      0.00        1     0.00     0.00  FileTest.file?
  0.00   514.50      0.00        1     0.00     0.00  Pathname#file?
  0.00   514.50      0.00       81     0.00     0.00  Gem::Platform#hash
  0.00   514.50      0.00        6     0.00     0.00  Bundler::Settings#app_cache_path
  0.00   514.50      0.00        6     0.00     0.00  Bundler.app_cache
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Source::Rubygems#cache_path
  0.00   514.50      0.00        4     0.00     0.00  Bundler::RubygemsIntegration#gem_path
  0.00   514.50      0.00       12     0.00     0.00  Bundler::RubygemsIntegration#gem_cache
  0.00   514.50      0.00        6     0.00     0.00  Bundler::Source::Rubygems#initialize
  0.00   514.50      0.00        1     0.00     0.00  Bundler::SourceList#initialize
  0.00   514.50      0.00       23     0.00     0.00  Bundler::Dsl#valid_keys
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Dsl#git_source
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Dsl#add_git_sources
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Dsl#initialize
  0.00   514.50      0.00        2     0.00     0.00  IO#read
  0.00   514.50      0.00        7     0.00     0.00  IO.open
  0.00   514.50      0.00        2     0.00     0.00  Bundler.read_file
  0.00   514.50      0.00       49     0.00     0.20  Bundler::Dsl#normalize_hash
  0.00   514.50      0.00      151     0.00     0.00  Symbol#===
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Dsl#normalize_source
  0.00   514.50      0.00        1     0.00     0.00  Bundler::SourceList#rubygems_primary_remotes
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Dsl#check_primary_source_safety
  0.00   514.50      0.00        4     0.00     0.00  String.try_convert
  0.00   514.50      0.00     1933     0.00     0.00  String#to_str
  0.00   514.50      0.00        6     0.00     0.00  String#ascii_only?
  0.00   514.50      0.00     1484     0.00     0.00  MatchData#[]
  0.00   514.50      0.00        6     0.00     0.00  URI::RFC3986_Parser#split
  0.00   514.50      0.00        6     0.00     0.00  URI.scheme_list
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#set_scheme
  0.00   514.50      0.00      169     0.00     0.00  URI::Generic#split_userinfo
  0.00   514.50      0.00      169     0.00     0.00  URI::Generic#set_userinfo
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#set_host
  0.00   514.50      0.00       12     0.00     0.00  URI::Generic#set_port
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#set_path
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#query=
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#set_opaque
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#fragment=
  0.00   514.50      0.00      260     0.00     0.00  URI::Generic.default_port
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#initialize
  0.00   514.50      0.00        6     0.00     0.00  URI::RFC3986_Parser#parse
  0.00   514.50      0.00        6     0.00     0.00  URI.parse
  0.00   514.50      0.00        4     0.00     0.00  Kernel#URI
  0.00   514.50      0.00        4     0.00     0.00  URI::Generic#absolute?
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Source::Rubygems#normalize_uri
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Source::Rubygems#add_remote
  0.00   514.50      0.00        1     0.00     0.00  Bundler::SourceList#add_rubygems_remote
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Dsl#source
  0.00   514.50      0.00       20     0.00     0.00  Bundler::Dsl#validate_keys
  0.00   514.50      0.00       96     0.00     0.00  NilClass#to_a
  0.00   514.50      0.00       59     0.00     0.68  Bundler::Dsl#normalize_options
  0.00   514.50      0.00       38     0.00     0.53  Bundler::Dependency#initialize
  0.00   514.50      0.00      190     0.00     0.16  Bundler::Dsl#gem
  0.00   514.50      0.00        4     0.00    12.50  Bundler::Dsl#eval_gemfile
  0.00   514.50      0.00      304     0.00     0.07  Hash#merge
  0.00   514.50      0.00       20     0.00     0.00  Bundler::Source::Git#initialize
  0.00   514.50      0.00        2     0.00     0.00  Bundler::SourceList#add_source_to_list
  0.00   514.50      0.00        2     0.00     5.00  Bundler::SourceList#warn_on_git_protocol
  0.00   514.50      0.00        4     0.00     5.00  Bundler::SourceList#add_git_source
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Dsl#with_source
  0.00   514.50      0.00        2     0.00     5.00  Bundler::Dsl#git
  0.00   514.50      0.00       40     0.00     0.00  Bundler::Source::Git#name
  0.00   514.50      0.00       12     0.00     0.00  Bundler::Source::Git#hash
  0.00   514.50      0.00        3     0.00     0.00  Bundler::Dsl#normalize_group_options
  0.00   514.50      0.00        3     0.00     6.67  Bundler::Dsl#group
  0.00   514.50      0.00      215     0.00     0.00  String#initialize
  0.00   514.50      0.00        2     0.00     0.00  File.exist?
  0.00   514.50      0.00      229     0.00     1.48  Bundler::LockfileParser#initialize
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Source::Git.from_lock
  0.00   514.50      0.00        2     0.00     0.00  Struct.new
  0.00   514.50      0.00       82     0.00     0.00  Bundler::LazySpecification#initialize
  0.00   514.50      0.00       82     0.00     0.00  Struct#initialize
  0.00   514.50      0.00      163     0.00     0.31  Struct#hash
  0.00   514.50      0.00      191     0.00     0.47  Bundler::LockfileParser#parse_spec
  0.00   514.50      0.00       19     0.00     0.00  Bundler::Source::Git#eql?
  0.00   514.50      0.00      170     0.00     0.00  URI::Generic.component
  0.00   514.50      0.00      170     0.00     0.00  URI::Generic#component
  0.00   514.50      0.00     1360     0.00     0.01  URI::Generic#component_ary
  0.00   514.50      0.00      581     0.00     0.00  URI::Generic#userinfo
  0.00   514.50      0.00      166     0.00     0.24  URI::Generic#hash
  0.00   514.50      0.00      163     0.00     0.25  Bundler::Source::Rubygems#hash
  0.00   514.50      0.00      149     0.00     0.20  Gem::Requirement.default
  0.00   514.50      0.00        1     0.00     0.00  Bundler::LockfileParser#parse_platform
  0.00   514.50      0.00       22     0.00     0.91  Bundler::LockfileParser#parse_dependency
  0.00   514.50      0.00        1     0.00     0.00  Bundler::LockfileParser#parse_bundled_with
  0.00   514.50      0.00        1     0.00     0.00  Bundler::LockfileParser#warn_for_outdated_bundler_version
  0.00   514.50      0.00      224     0.00     0.00  Array#delete
  0.00   514.50      0.00      105     0.00     0.00  Module#private_method_defined?
  0.00   514.50      0.00      137     0.00     0.15  Forwardable#def_instance_delegators
  0.00   514.50      0.00        7     0.00     4.29  Bundler::SpecSet#initialize
  0.00   514.50      0.00        1     0.00     0.00  TrueClass#^
  0.00   514.50      0.00        1     0.00     0.00  Bundler::GemVersionPromoter#initialize
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Definition#create_gem_version_promoter
  0.00   514.50      0.00        1     0.00     0.00  Bundler::RubygemsIntegration#platforms
  0.00   514.50      0.00       28     0.00     0.00  Bundler::GemHelpers#generic
  0.00   514.50      0.00        3     0.00    96.67  Bundler::Definition#initialize
  0.00   514.50      0.00       20     0.00     0.00  Gem::Platform#==
  0.00   514.50      0.00       13     0.00     0.00  Array#|
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Definition#add_platform
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Definition#converge_paths
  0.00   514.50      0.00        5     0.00     0.00  Kernel#__method__
  0.00   514.50      0.00        5     0.00     0.00  Kernel#to_enum
  0.00   514.50      0.00      336     0.00     1.73  Method#call
  0.00   514.50      0.00      756     0.00     0.63  TSort.each_strongly_connected_component
  0.00   514.50      0.00        5     0.00    48.00  Enumerator#each
  0.00   514.50      0.00       14     0.00    17.14  Enumerable#to_a
  0.00   514.50      0.00        5     0.00    50.00  TSort.tsort
  0.00   514.50      0.00        5     0.00    50.00  TSort#tsort
  0.00   514.50      0.00       85     0.00     0.00  Bundler::Definition#converge_path_source_to_gemspec_source
  0.00   514.50      0.00       93     0.00     0.65  Bundler::Definition#converge_sources
  0.00   514.50      0.00      329     0.00     0.00  Hash#size
  0.00   514.50      0.00      329     0.00     0.00  Array#slice!
  0.00   514.50      0.00      546     0.00     0.00  Array#size
  0.00   514.50      0.00       87     0.00     0.00  Bundler::SourceList#rubygems_sources
  0.00   514.50      0.00        4     0.00     0.00  Bundler::SourceList#rubygems_remotes
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#normalize!
  0.00   514.50      0.00        6     0.00     0.00  URI::Generic#normalize
  0.00   514.50      0.00        2     0.00     0.00  URI::Generic#==
  0.00   514.50      0.00        1     0.00     0.00  Bundler::Source::Rubygems#replace_remotes
  0.00   514.50      0.00        2     0.00     0.00  FalseClass#|
  0.00   514.50      0.00       12     0.00     1.67  Bundler::SourceList#replace_sources!
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Source::Git#local?
  0.00   514.50      0.00        6     0.00     0.00  Bundler::Source::Git#base_name
  0.00   514.50      0.00        2     0.00     0.00  Digest::Class#initialize
  0.00   514.50      0.00        4     0.00     0.00  Digest::Base#reset
  0.00   514.50      0.00        2     0.00     0.00  Digest::Base#update
  0.00   514.50      0.00        2     0.00     0.00  Digest::Base#finish
  0.00   514.50      0.00        2     0.00     0.00  Digest::Instance#digest
  0.00   514.50      0.00        2     0.00     0.00  Digest::Class.digest
  0.00   514.50      0.00        2     0.00     0.00  Digest::Class.hexdigest
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Source::Git#uri_hash
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Settings#allow_sudo?
  0.00   514.50      0.00        9     0.00     0.00  Bundler.which
  0.00   514.50      0.00        1     0.00     0.00  File.executable?
  0.00   514.50      0.00        1     0.00     0.00  Gem.bindir
  0.00   514.50      0.00        1     0.00     0.00  Bundler::RubygemsIntegration#gem_bindir
  0.00   514.50      0.00        1     0.00     0.00  Bundler.system_bindir
  0.00   514.50      0.00        6     0.00     0.00  Pathname#hash
  0.00   514.50      0.00        1     0.00     0.00  String#eql?
  0.00   514.50      0.00       12     0.00     0.00  File.writable?
  0.00   514.50      0.00       14     0.00     0.00  Bundler.requires_sudo?
  0.00   514.50      0.00        2     0.00     5.00  Bundler.cache
  0.00   514.50      0.00        2     0.00     5.00  Bundler::Source::Git#cache_path
  0.00   514.50      0.00       12     0.00     0.00  Bundler::Source::Git#cached_revision
  0.00   514.50      0.00       10     0.00     0.00  Bundler::Source::Git#allow_git_ops?
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Source::Git::GitProxy#allow?
  0.00   514.50      0.00        2     0.00     0.00  Bundler::Source::Git::GitProxy#initialize
  0.00   514.50      0.00        8     0.00     1.25  Bundler::Source::Git#git_proxy
  0.00   514.50      0.00        8     0.00     0.00  Bundler::Source::Git::GitProxy#revision
  0.00   514.50      0.00        8     0.00     1.25  Bundler::Source::Git#revision
  0.00   514.50      0.00        4     0.00     0.00  Bundler::Source::Git#shortref_for_display
  0.00   514.50      0.00        4     0.00     2.50  Bundler::Source::Git#to_s
  0.00   514.50      0.00        2     0.00     0.00  Bundler::SourceList#combine_rubygems_sources
  0.00   514.50      0.00        2     0.00     5.00  Bundler::SourceList#lock_sources
  0.00   514.50      0.00      168     0.00     0.06  Set#add
  0.00   514.50      0.00      276     0.00     0.11  Set#merge
  0.00   514.50      0.00      109     0.00     0.18  Enumerable#each_entry
  0.00   514.50      0.00      109     0.00     0.18  Set#do_with_enum
  0.00   514.50      0.00      109     0.00     0.28  Set#initialize
  0.00   514.50      0.00      106     0.00     0.19  Enumerable#to_set
  0.00   514.50      0.00        3     0.00     0.00  BasicObject#equal?
  0.00   514.50      0.00      543     0.00     0.00  Kernel#instance_variable_get
  0.00   514.50      0.00      162     0.00     0.00  Method#to_proc
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#check_password
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#set_password
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#password=
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#check_user
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#set_user
  0.00   514.50      0.00      163     0.00     0.00  URI::Generic#user=
  0.00   514.50      0.00      326     0.00     0.03  Bundler::Source::Rubygems#suppress_configured_credentials
  0.00   514.50      0.00      398     0.00     0.08  Bundler::Source::Rubygems#eql?
